timestamp,player_count
1751328091482,35
1751328412173,34
1751328723589,33
1751329038152,32
1751329351592,32
1751329659799,37
1751329976844,37
1751330294993,34
1751330603684,30
1751330924705,31
1751331234330,28
1751331561149,25
1751331863289,23
1751332176354,26
1751332487813,24
1751332799658,23
1751333114768,28
1751333427315,32
1751333738219,29
1751334058785,28
1751334366331,31
1751334679963,31
1751334993225,31
1751335308073,33
1751335619722,34
1751335932260,27
1751336243937,23
1751336557264,24
1751336873908,22
1751337184409,19
1751337496747,25
1751337813850,24
1751338127123,22
1751338437169,20
1751338755517,21
1751339061621,20
1751339373649,17
1751339689649,17
1751340000683,18
1751340315174,16
1751340626497,17
1751340940620,19
1751341250962,23
1751341570877,21
1751341884340,17
1751342196176,15
1751342511431,16
1751342820557,12
1751343137485,10
1751343451542,11
1751343760295,8
1751344068127,7
1751344383451,6
1751344695879,4
1751345016682,4
1751345342189,5
1751345643830,4
1751345955048,3
1751346269284,4
1751346582081,4
1751346893675,4
1751347210902,3
1751347523315,4
1751347838297,5
1751348149621,9
1751348622342,9
1751348915164,8
1751349191840,8
1751349478551,10
1751349752866,12
1751350044337,10
1751350338498,8
1751350638898,7
1751350961514,6
1751351270580,7
1751351575396,10
1751351891784,8
1751352200523,10
1751352516618,10
1751352832026,11
1751353138051,11
1751353451952,12
1751353761744,13
1751354070909,10
1751354387055,8
1751354702945,6
1751355015588,5
1751355325757,6
